,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
TinyImageNet (Crop),0.1843,0.09459999999999999,0.9684139,0.9506784470872494,0.9821973959650163
TinyImageNet (Resize),0.20110080521863213,0.1006013861991642,0.9661345020894914,0.9466843115244865,0.9809649053956153
LSUN (Crop),0.2218,0.11069999999999999,0.96033448,0.9343029103524425,0.978696466925378
LSUN (Resize),0.1943,0.09825,0.9659526800000001,0.9450653071085902,0.9811871045722635
iSUN,0.22532212885154063,0.10613725490196078,0.9614009411764706,0.9444019791037445,0.9758575111928086
DTD,0.4673758865248227,0.2193205673758865,0.8462629432624112,0.7757955899352973,0.8799682285625836
Stanford Dogs,0.9067495991058846,0.389265610573886,0.6449318334224209,0.31654557133443306,0.8648292853354742
food,0.591096765250453,0.20954316167806963,0.8685963761299841,0.4499699780224864,0.9907631647380705
CUB,0.7449915110356536,0.32404516129032257,0.7486763667232598,0.5874938066524138,0.8661637097392139
Calt,0.777339738280603,0.32766925625310583,0.7295256551267185,0.1862649389670411,0.9671150472775643
places,0.7337250487356196,0.2770757777106614,0.7924169462672633,0.41944554772509574,0.9589857301501771
SVHN,0.0836278426551936,0.0653260909649662,0.9788884834050399,0.8884508710976038,0.9959948956799465
Cifar10,0.9174,0.4088,0.614681,0.6058713087607448,0.5840059226646134
All,0.5709749488995579,0.2438333111501957,0.8336238753941468,0.08832245873329306,0.9965698920654383
