,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
TinyImageNet (Crop),0.3793,0.11954999999999999,0.9392944200000001,0.9226263629667398,0.9497965416177483
TinyImageNet (Resize),0.2348384466415248,0.09364710019366017,0.9583296503924168,0.9466735863005181,0.9614296316634263
LSUN (Crop),0.3375,0.13695,0.93719758,0.9016776017594677,0.964473437366117
LSUN (Resize),0.2416,0.0871,0.9580280400000001,0.9496736076610964,0.9568700304867328
iSUN,0.2527731092436975,0.09473109243697479,0.9569886834733894,0.9500407597734061,0.9558900485764361
DTD,0.4368794326241135,0.17807517730496453,0.8986042553191489,0.8847291530073313,0.900883812799205
Stanford Dogs,0.9967928470771175,0.49122090966519266,0.44666255891928663,0.1913169290462207,0.7518744533949919
food,0.9588997693000783,0.31438266285137184,0.721192877016149,0.27078026612169404,0.969095112150098
CUB,0.9376910016977928,0.395404584040747,0.6404271646859083,0.46485310714801154,0.7683391120271787
Calt,0.8632764618187841,0.3230089117111148,0.7285205466291204,0.21863316639703234,0.9616799169073247
places,0.9211993080914856,0.3128132698168639,0.7307938002800581,0.38887455105695756,0.9303485865837892
SVHN,0.1570759065765212,0.09709603564843271,0.9609686770129071,0.8346902400985738,0.9917173868325847
Cifar10,0.9756,0.49629999999999996,0.46283952000000006,0.4859864664651362,0.4608567204280459
All,0.7594460553627735,0.3086967264026873,0.7569463421590531,0.06233086047685169,0.9941759748786382
