,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
TinyImageNet (Crop),0.5956,0.3206,0.71715128,0.6066100200736192,0.8516626055219092
TinyImageNet (Resize),0.5379675874018959,0.29280603404342065,0.7443282845785344,0.6680746370353945,0.8659982285531064
LSUN (Crop),0.5301,0.2854,0.7347087999999999,0.5575070308356276,0.8713060762679927
LSUN (Resize),0.5387,0.28564999999999996,0.74352164,0.674535731198203,0.8664206716354607
iSUN,0.5352380952380953,0.29195518207282917,0.7483129635854342,0.6844075218401182,0.8589021849663605
DTD,0.5918439716312057,0.3201723404255319,0.6992347517730497,0.6542226796104336,0.7776066562399826
Stanford Dogs,0.9763836921133194,0.49719768696243744,0.482342883522037,0.19163662651031338,0.7831748374169624
food,0.9747616265829678,0.4826977999346515,0.49666052060952304,0.049709070976245606,0.9486205613731215
CUB,0.8980475382003396,0.44990169779286926,0.5428818845500848,0.3291995537145894,0.7457187619282478
Calt,0.8763955607089614,0.43845136657280104,0.5611627530230248,0.09508337332261149,0.9418840087579933
places,0.9337195573982043,0.46809955245600066,0.5249848768567584,0.13492183655953702,0.889772932686469
SVHN,0.39144130301167795,0.22035448678549477,0.7818097418561769,0.39479460147019707,0.9543270130963415
Cifar10,0.9696,0.4994,0.47055983999999995,0.4797041949826445,0.4691452168322848
All,0.8274627244062049,0.43763468016669044,0.5769645374023545,0.020523197056083305,0.9893080603191599
