,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
TinyImageNet (Crop),0.227,0.1142,0.9597989600000001,0.9369091160722545,0.9778475030771181
TinyImageNet (Resize),0.2620527978799307,0.12609910304759964,0.9526742839669757,0.9266230629430072,0.9735241420807538
LSUN (Crop),0.2928,0.1378,0.94484472,0.9139629341070988,0.9696533666910612
LSUN (Resize),0.2689,0.128,0.9510829999999999,0.9247011966649755,0.9725041270688315
iSUN,0.29703081232492995,0.13684985994397758,0.9449986106442576,0.9218589203804126,0.9657368644726321
DTD,0.43847517730496455,0.17672624113475177,0.9074129787234043,0.9050119986672452,0.9128052578009964
Stanford Dogs,0.8347344380193401,0.2604821614266971,0.793276262209048,0.623140662234155,0.9181864815732934
food,0.6001069338693229,0.19003250294563204,0.8844074952721368,0.5794050143973786,0.9915383055125971
CUB,0.6534804753820034,0.20954346349745331,0.8623917657045841,0.7965398161452554,0.9217369588580698
Calt,0.771840318038761,0.288754199105516,0.7648455855557397,0.21558734595113388,0.9711261755687537
places,0.7270805304631943,0.2602906153043574,0.8065542846160182,0.45118805666830647,0.9613296150403923
SVHN,0.1545021511985249,0.08998527965580824,0.9734898355869698,0.9122795405195675,0.9943791050593798
Cifar10,0.8558,0.3144,0.7288152,0.7271738250848103,0.6891993318670581
All,0.5781717925559728,0.21711159861196938,0.8613312798085911,0.1412599201129293,0.9970355988857984
