,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
TinyImageNet (Crop),0.2381,0.10339999999999999,0.9562569800000001,0.9317200067615856,0.9728895882986581
TinyImageNet (Resize),0.13403322800937723,0.0730125981041688,0.9740402813168891,0.9621886715615772,0.9826734769736871
LSUN (Crop),0.4897,0.20779999999999998,0.87236306,0.7677710739176613,0.9317019302340083
LSUN (Resize),0.209,0.08515,0.96524278,0.9528690152373793,0.9750774630605841
iSUN,0.17355742296918766,0.08359243697478991,0.968688537815126,0.9586366664845117,0.9766616835362961
DTD,0.4427304964539007,0.20687234042553193,0.8679386524822695,0.8290172177325297,0.8953791695428284
Stanford Dogs,0.9834783031245444,0.49997570338694786,0.42186342387871134,0.16750590796198853,0.7574116255067753
food,0.9863362278087467,0.4991209233937641,0.4122566650494569,0.03971448484601586,0.9347870603774873
CUB,0.9571307300509337,0.4348015280135823,0.5803177249575552,0.3815769834372383,0.7349120954347571
Calt,0.9070399204903098,0.42375542487990725,0.6044618651648169,0.11374597378576015,0.9450818094292446
places,0.9616979215287883,0.4861149254550946,0.5094892397243348,0.1304033931735427,0.877968662807332
SVHN,0.23206054087277198,0.10910537799631223,0.9569759219422249,0.8621447117896057,0.9902106089708985
Cifar10,0.982,0.4999,0.41106928000000004,0.4386293201260114,0.43328785584239343
All,0.7814644039866268,0.4090490152271395,0.602762837540207,0.020278089454259546,0.9904661700429485
