,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
TinyImageNet (Crop),0.1184,0.07735,0.9755187599999999,0.9598780008876197,0.9857325987863479
TinyImageNet (Resize),0.051370910202833554,0.049646926918764656,0.9878102130261951,0.9805187484395419,0.9925424077182974
LSUN (Crop),0.2286,0.1242,0.94672244,0.8970427266161796,0.9731946498989024
LSUN (Resize),0.068,0.05605,0.98472266,0.9768908296073249,0.9902720726397589
iSUN,0.06240896358543417,0.05391736694677871,0.9860226106442579,0.9798293617021416,0.9905614135593723
DTD,0.2572695035460993,0.13960709219858156,0.9321907446808511,0.9090074057288009,0.9474109895864395
Stanford Dogs,0.9585985713591525,0.47010905291802324,0.5260574663491909,0.2218186401051633,0.8066087167309117
food,0.9356812578591444,0.4199517866867333,0.5993589215521253,0.08172823363934198,0.9628737107150817
CUB,0.8258913412563668,0.3426731748726655,0.7117566213921901,0.5187606103329296,0.8331238441532944
Calt,0.7418254099718403,0.3279888686433659,0.7349596256418751,0.1929672212401682,0.9687728771609242
places,0.8661761071909063,0.4049258944015815,0.6351487493479038,0.19918820519720412,0.9220026134757491
SVHN,0.05769821757836509,0.05335915795943454,0.9881953749231714,0.9526744618262188,0.9975896720386984
Cifar100,0.8456,0.4216,0.60472572,0.5726081470744748,0.6244551269878086
All,0.6739871020899685,0.3410190632377874,0.7251133101994898,0.039360239072078244,0.994022724774562
