,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
TinyImageNet (Crop),0.0211,0.0342,0.9947085199999999,0.9913161469611173,0.996855555064269
TinyImageNet (Resize),0.020589134644786466,0.03255533584751809,0.9951680970339414,0.9918775637995736,0.9971648330855174
LSUN (Crop),0.0279,0.03775,0.9941419800000001,0.9898803636408278,0.9969152231733326
LSUN (Resize),0.0113,0.026099999999999998,0.9965931799999999,0.9945385002554726,0.9978745715401434
iSUN,0.011428571428571429,0.027277310924369746,0.9964854453781512,0.994744891027878,0.9976913331739173
DTD,0.11950354609929079,0.07816382978723405,0.9782395390070922,0.9763980035985413,0.9808860070161295
Stanford Dogs,0.8479517955197046,0.3640081928179212,0.6772177851207541,0.3122784295828467,0.8863652096284929
food,0.523520500608929,0.14712436805053614,0.9177269166410884,0.6994836103588007,0.9935740798013968
CUB,0.7852292020373515,0.35110831918505947,0.7042124278438031,0.4955313327801992,0.8427640901570729
Calt,0.5192645353652476,0.17524836839489813,0.8950878317044889,0.5349796466571435,0.988075971046545
places,0.41023036160456877,0.1409205952609758,0.9265848329260591,0.7366940680976471,0.9867107494924531
SVHN,0.0246619545175169,0.030819913952059005,0.9953801859250154,0.9773057192107822,0.9991161144789253
Cifar100,0.553,0.18209999999999998,0.8904888,0.8975600635742638,0.8766637547745596
All,0.4146693920235775,0.1617726608673607,0.9098143486872335,0.17651414033392776,0.9982402742619693
