,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
TinyImageNet (Crop),0.4207,0.2336,0.8099912,0.7018254223431705,0.9090665676903967
TinyImageNet (Resize),0.36693507287738253,0.20710799103047597,0.8593647946182855,0.7725892755013114,0.9322054387777198
LSUN (Crop),0.393,0.21945,0.79140542,0.6337437834607631,0.9048639368755045
LSUN (Resize),0.3932,0.21989999999999998,0.85449208,0.7750739817610972,0.9295021572418689
iSUN,0.3726610644257703,0.20937927170868348,0.854558924369748,0.7819295534995413,0.9242140911109307
DTD,0.4851063829787234,0.2658900709219858,0.7536798581560284,0.7123530163294473,0.824895977212579
Stanford Dogs,0.9181204140142865,0.4457659361485009,0.5360566888575733,0.20967105932302257,0.8305385872438354
food,0.8329851381724209,0.4043291295781063,0.5982285077774587,0.0730171701034874,0.968771110526085
CUB,0.7819185059422751,0.3768183361629881,0.6115987436332767,0.37501252320812306,0.8058272606019871
Calt,0.7157528573794931,0.3645797912870631,0.6337091933079344,0.12228383935495452,0.9581962052093671
places,0.8012684989429175,0.39451055709618077,0.5934071442299772,0.15624503372368784,0.9215221567435657
SVHN,0.2188460356484327,0.12851865396435155,0.8903665027658267,0.6114565043938422,0.9789717091184065
Cifar100,0.836,0.426,0.5693802,0.5524423467250564,0.6118433569350437
All,0.6852529669946602,0.3527837920489297,0.6636486938885455,0.030154911320717688,0.9926096897306145
