,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
TinyImageNet (Crop),0.0065,0.023291333743085434,0.9968540949600493,0.9978404788700064,0.995259759282575
TinyImageNet (Resize),0.008561818367138926,0.02482617146302361,0.9967432335304433,0.9977630739339074,0.9951248416896901
LSUN (Crop),0.0242,0.03625221266133989,0.9942129379225568,0.9958528051393578,0.9920329101021093
LSUN (Resize),0.0123,0.027091917639827906,0.9961760371850029,0.9973569087414447,0.9942492668482376
iSUN,0.007619047619047619,0.023826744588431564,0.997020887027214,0.9981292169464606,0.9950961234930437
DTD,0.028191489361702127,0.03686967921641449,0.9934134665681519,0.9970943119085376,0.9856761494184959
Stanford Dogs,0.042762038971767335,0.04603371903970108,0.9891903666662057,0.9871182009627953,0.9913165558052803
food,0.025198768280245948,0.03672906818162441,0.992956890058118,0.9704884961074798,0.9989213681883605
CUB,0.032512733446519525,0.04108431779927643,0.9916638709260016,0.9934507206945905,0.9893011688383997
Calt,0.07990723869471592,0.06086942954423953,0.9839365298951894,0.9537687604919153,0.9958787772416109
places,0.025342522171274813,0.03668457562973144,0.9929718770452765,0.985834692665692,0.9970620598944905
Cifar10,0.0276,0.03800706822372465,0.9920301167793486,0.9971254356366168,0.9768073247764689
Cifar100,0.0576,0.051721020282728944,0.9878651659496004,0.9954215573691617,0.9679432232377096
All,0.036404627142871696,0.042875331966408296,0.9912350185575347,0.9282419943298306,0.9995439028233108
