,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
TinyImageNet (Crop),0.0004,0.0037396127842655195,0.9998545559311617,0.9998940836190151,0.9998035715850047
TinyImageNet (Resize),0.0,0.003002721785946146,0.9999184573065228,0.9999408346565227,0.999889325979668
LSUN (Crop),0.0016,0.01000421020282729,0.9992529348494161,0.9994481877258482,0.9989832812108871
LSUN (Resize),0.0,0.0014908420405654577,0.9999737861094038,0.9999810058842336,0.9999643972480308
iSUN,0.0,0.0018455027985379768,0.9999594035524474,0.9999736306447848,0.9999381062494322
DTD,0.007801418439716312,0.017313442920224752,0.9980616600626833,0.9991175951533077,0.996139240389698
Stanford Dogs,0.000777491617668497,0.009825249037297108,0.9992441580533654,0.9990254610847117,0.9994162119356504
food,0.004287256057110608,0.014707064482292856,0.9987316885500972,0.992447431892562,0.9998237590921052
CUB,0.0025466893039049238,0.014806016468695183,0.9986492398542007,0.9989037624888554,0.9983231016801566
Calt,0.012324001987742255,0.024130585472764296,0.9971140143872059,0.9891133618152677,0.999334114134222
places,0.0010982674830454957,0.009219161731649208,0.9993853992729665,0.9985793126340782,0.999753296251636
Cifar10,0.002,0.012407867240319607,0.9988907498463429,0.9995980551607109,0.9965860973416218
Cifar100,0.0122,0.024238291333743084,0.9966725414874,0.9986761279157068,0.9919715121265157
All,0.004746658155729774,0.015288209391844432,0.9986430983240533,0.980864365535439,0.999935741828006
