,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
TinyImageNet (Crop),0.3796,0.19480058389674246,0.7975336739397664,0.8378901311821609,0.8242268701319575
TinyImageNet (Resize),0.3462440118234635,0.17702080460845193,0.818770310497161,0.8558836100853475,0.8415048176359643
LSUN (Crop),0.4053,0.21345055316533498,0.7805678395820528,0.821873085903699,0.8095228370703358
LSUN (Resize),0.3376,0.17228291333743084,0.8253163721573448,0.8598706483867105,0.8484097537896077
iSUN,0.33355742296918767,0.17006958468697866,0.8255241383584779,0.8702687543275326,0.8400613056359312
DTD,0.38368794326241135,0.20163394098697945,0.7972248966901619,0.8952698190778121,0.7687645007437144
Stanford Dogs,0.4674668351231838,0.25569368241468493,0.7323480215493486,0.6678872207481275,0.8479189262830943
food,0.42676515144014177,0.22679701218434264,0.763461687406794,0.45065084298126723,0.9640609970864301
CUB,0.41765704584040747,0.22358781617087706,0.7653763084327192,0.7854995409287651,0.8145983312900976
Calt,0.42681795593838,0.22862682022630573,0.7598020209120177,0.5127256722495648,0.9424197601805523
places,0.4525960297630488,0.2432729471287317,0.7446154960141649,0.5867414771702529,0.905327986447374
Cifar10,0.4842,0.2633272894898586,0.7206549170251997,0.8672276588233261,0.6680891720069349
Cifar100,0.4546,0.24854738783036262,0.7405330055316535,0.8756266101464708,0.6927424684236813
All,0.422208112778968,0.22622556365404783,0.7653751225291789,0.3166150370583396,0.9871366511821014
