,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
TinyImageNet (Crop),0.0015,0.013288936693300554,0.9980044253226797,0.9987146440816896,0.9965940823459026
TinyImageNet (Resize),0.0006115584547956376,0.009201771502290651,0.9988016285923186,0.9992580640338857,0.9978181329096536
LSUN (Crop),0.0123,0.027303503380454824,0.9954157191149355,0.9968132107798084,0.9933094721899943
LSUN (Resize),0.0001,0.007167639827904118,0.9990042562999385,0.9993992582498301,0.9980604710913432
iSUN,0.0,0.007068262461714865,0.9989817315986014,0.9994389612208412,0.9977503710656044
DTD,0.0070921985815602835,0.02205310866712873,0.9967881728761545,0.9986926454436803,0.9918756834821577
Stanford Dogs,0.0585062442295544,0.051228234483252554,0.9834341189795733,0.9826540314046494,0.982514640701351
food,0.013703377328039447,0.03045417192131024,0.9928740923186367,0.9779417743510094,0.9986255938654691
CUB,0.01740237691001698,0.033105591342195526,0.992221373354774,0.9943877070624754,0.9875054186813272
Calt,0.017459002815968197,0.03292558519736772,0.9920186584490905,0.9817094528031303,0.9975421340023577
places,0.015897421817083552,0.03233974791521139,0.9912489467272261,0.9865660218732257,0.9950150250090143
Cifar10,0.0886,0.062138598647818066,0.9788406115550092,0.9925094033482292,0.9254637444170597
Cifar100,0.0638,0.053801536570374925,0.9834376920712968,0.9941765970773119,0.9448245464583509
All,0.018243057418266144,0.03334277134716977,0.992339759770865,0.9540894023639563,0.99953769734632
