,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
TinyImageNet (Crop),0.0145,0.029165673017824217,0.9953500153657039,0.9966929345733271,0.9936174068009401
TinyImageNet (Resize),0.01742941596167567,0.03120397610724688,0.9949050264504358,0.9964733520130385,0.9928144792960871
LSUN (Crop),0.0458,0.04743816840811309,0.9907844806392133,0.9931891379658275,0.9880059798824179
LSUN (Resize),0.03,0.039304671173939765,0.9925021127842655,0.9947094781203776,0.9896051756534602
iSUN,0.02072829131652661,0.033862537639518006,0.9945122744857007,0.996531273141614,0.9914910122330888
DTD,0.03634751773049645,0.04075562210394626,0.9912866651845845,0.9959900191417796,0.9826737647565975
Stanford Dogs,0.041692987997473153,0.04453423385312355,0.9894225359613019,0.987080467386581,0.9920343563223673
food,0.016218303513965762,0.03124157923012178,0.9945029022538345,0.9774889246412394,0.9991880816828828
CUB,0.03259762308998302,0.040772973161933124,0.9917568738697469,0.9933642727939698,0.9900108098807727
Calt,0.060593009773066094,0.05398870074817258,0.9862595636679727,0.9570372429132143,0.9965736084065504
places,0.032975481178441006,0.041231688629963126,0.9919574499147078,0.9832172313981181,0.9967755136499593
Cifar10,0.0326,0.04092415488629379,0.9915472956361401,0.9968572511012455,0.9774028417207623
Cifar100,0.0468,0.04693509526736324,0.9887071296865397,0.995624692197651,0.9715382402665209
All,0.032595077464238786,0.04113249404090459,0.9916717348834532,0.9270964356539292,0.9995787778333404
