,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
TinyImageNet (Crop),0.0048,0.01939683466502766,0.9980469268592501,0.9985848817334644,0.9973818808941859
TinyImageNet (Resize),0.005198246865762919,0.021719220996564634,0.9977531710734231,0.998403102646354,0.9969328641207835
LSUN (Crop),0.0233,0.03459554394591272,0.9950179317762754,0.9963493531277017,0.9934598807627262
LSUN (Resize),0.0109,0.02621877688998156,0.996932529194837,0.9977770428813161,0.9959055868251245
iSUN,0.005378151260504202,0.021448180993356162,0.9978967579656326,0.9986350633293589,0.996842001632896
DTD,0.02304964539007092,0.03205906968837045,0.9952486465103508,0.997894402426024,0.9901950681450508
Stanford Dogs,0.02060352786821517,0.034375380521248514,0.9936849190131316,0.9919929664258418,0.9954541636809895
food,0.009168589166014832,0.026339065542965643,0.9964274423092123,0.9837408859686074,0.9994915553348396
CUB,0.01926994906621392,0.03305409406002068,0.9946235363449764,0.9955807481359173,0.9936775068733232
Calt,0.03942355474573463,0.044149563656773805,0.9907807915518714,0.9703834660676643,0.9977815673165094
places,0.015430658136789215,0.03013237139693633,0.9956398291529163,0.9904372945707259,0.9983133175335505
Cifar10,0.0196,0.03335285802089735,0.9942733866011063,0.9978524622833257,0.9851340716985858
Cifar100,0.0308,0.03905648432698218,0.9922463122311002,0.9970050697658648,0.9809235955312019
All,0.018300777867942403,0.03225463957982451,0.9948916854235869,0.9506421479676637,0.9997511621605302
