,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
TinyImageNet (Crop),0.4548,0.23899139520590043,0.7500196450522433,0.8021259822668427,0.7797119078536041
TinyImageNet (Resize),0.4445010702272959,0.2329310069721548,0.761034982496786,0.8150293701677215,0.7858780614105598
LSUN (Crop),0.4041,0.2160298094652735,0.7792687154271667,0.8168966280734451,0.8096964872939862
LSUN (Resize),0.4751,0.24668103872157346,0.7512971496619544,0.8147430116234388,0.7736360949787232
iSUN,0.4552380952380952,0.23633114770185887,0.7617605567119289,0.8334069861887904,0.7721305373007877
DTD,0.38847517730496456,0.20634124067704998,0.7896102778032056,0.887833364174862,0.7634457938923408
Stanford Dogs,0.49438748238495556,0.27046004233076293,0.6901669770171962,0.5883791431420248,0.8260611886969402
food,0.4770537738744715,0.2562933630377539,0.7132314183460597,0.328839374366179,0.955486618036764
CUB,0.4790322580645161,0.2580921691782244,0.7109907761428275,0.730522181639725,0.7729145810079763
Calt,0.4761967864833527,0.2586322268567355,0.7139403533770798,0.41130666997965426,0.9301188887702027
places,0.4782954888663134,0.25889139963913443,0.712987698138516,0.5170568451037427,0.8934880367002445
Cifar10,0.5,0.2736760295021512,0.6879970497848801,0.8397915905010155,0.6416781297856147
Cifar100,0.4862,0.2635784880147511,0.7003167178856792,0.8482973160108516,0.6559921477276776
All,0.4721261157872221,0.25514680852773725,0.7203071009648824,0.19589908169627118,0.9842292656532046
