,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
TinyImageNet (Crop),0.0009,0.011582237246465888,0.998833889059619,0.9991825240489922,0.9983722041281717
TinyImageNet (Resize),0.0003057792273978188,0.009151575721517754,0.9992780264892142,0.9995010756809145,0.9989768649485682
LSUN (Crop),0.0079,0.02076939151813153,0.9974652427781192,0.9982016712600918,0.9965232383467453
LSUN (Resize),0.0001,0.0058639827904118005,0.9995829287031346,0.9997066383848129,0.9994194190029779
iSUN,0.00011204481792717087,0.005997479508090883,0.9995702681810279,0.9997255445589867,0.9993371885287103
DTD,0.003368794326241135,0.01687900761528637,0.9982076887366123,0.9992587517655851,0.9956831510163415
Stanford Dogs,0.03493852956897808,0.04197516358997675,0.9894187354154989,0.9881576989493073,0.9908487752016228
food,0.009713159796825648,0.025943405555766963,0.995205185979862,0.9829963240563829,0.9992151277143462
CUB,0.01129032258064516,0.02738425372768321,0.9950620980524949,0.9962861548177355,0.9933579422683505
Calt,0.01772403511677986,0.03207524862813307,0.9933731005653622,0.9828051272433036,0.9982307539910915
places,0.008786139864363966,0.02549961551356484,0.9952575787417537,0.9916299479752051,0.9978640570899029
Cifar10,0.0484,0.04843509526736324,0.987893254456054,0.9956838846383971,0.9623860487526317
Cifar100,0.0474,0.046955193607867235,0.9886062999385373,0.9958506346913486,0.9659294646648925
All,0.012949752650896535,0.02868007407458404,0.9948639641023753,0.9634243821347053,0.9997261824072328
